bibtex_key;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;created_at;updated_at;created_by;updated_by;status;comments
;3D selection techniques for mobile augmented reality head-mounted displays;"{\""O}zacar, Kas{\i}m and Hincapi{\'e}-Ramos, Juan David and Takashima, Kazuki and Kitamura, Yoshifumi";Interacting with Computers;2017;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;579--591;29;None;;;;;;;Oxford University Press;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;Optimizing hierarchical menus by genetic algorithm and simulated annealing;Matsui, Shouichi and Yamada, Seiji;;2008;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1587--1594;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Pinpointing: Precise head-and eye-based target selection for augmented reality;"Kyt{\""o}, Mikko and Ens, Barrett and Piumsomboon, Thammathip and Lee, Gun A and Billinghurst, Mark";;2018;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1--14;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;A survey of interaction techniques for interactive 3D environments;Jankowski, Jacek and Hachet, Martin;;2013;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;;;None;;;;;;;;;;;Outras revisões/mapeamentos;45463;45464;annazenaide;annazenaide;Rejected;
;Augmented reality in-situ 3D model menu for outdoors;Hoang, Thuong N and Thomas, Bruce H;;2008;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;185--186;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;Consumed endurance: a metric to quantify arm fatigue of mid-air interactions;Hincapi{\'e}-Ramos, Juan David and Guo, Xiang and Moghadasian, Paymahn and Irani, Pourang;;2014;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1063--1072;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Hands-free interaction for augmented reality in vascular interventions;Grinshpoon, Alon and Sadri, Shirin and Loeb, Gabrielle J and Elvezio, Carmine and Feiner, Steven K;;2018;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;751--752;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;Extended pie menus for immersive virtual environments;Gebhardt, Sascha and Pick, Sebastian and Leithold, Franziska and Hentschel, Bernd and Kuhlen, Torsten;IEEE transactions on visualization and computer graphics;2013;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;644--651;19;None;;;;;;;IEEE;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;G* Power 3: A flexible statistical power analysis program for the social, behavioral, and biomedical sciences;Faul, Franz and Erdfelder, Edgar and Lang, Albert-Georg and Buchner, Axel;Behavior research methods;2007;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;175--191;39;None;;;;;;;Springer;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;An empirical comparison of pie vs. linear menus;Callahan, Jack and Hopkins, Don and Weiser, Mark and Shneiderman, Ben;;1988;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;95--100;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Interactive menus in augmented reality environments;Brudy, Frederik;Beyond the Desktop;2013;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;;1;None;;;;;;;Citeseer;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;Design and evaluation of menu systems for immersive virtual environments;Bowman, Doug A and Wingrave, Chadwick A;;2001;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;149--156;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;Advantages of eye-gaze over head-gaze-based selection in virtual and augmented reality under varying field of views;Blattgerste, Jonas and Renner, Patrick and Pfeiffer, Thies;;2018;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;1--9;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45463;45464;annazenaide;annazenaide;Rejected;
;Selection and manipulation methods for a menu widget on the human forearm;Azai, Takumi and Ogawa, Shuhei and Otsuki, Mai and Shibata, Fumihisa and Kimura, Asako;;2017;Snowballing backward (Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Rea;357--360;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45463;45464;annazenaide;annazenaide;Rejected;
;A Cross-Cultural Validation of the MUSIC Model of Academic Motivation and Its Associated Inventory Among Egyptian University Students;Hussein, Hanaa Ezzat Mohamed Abdelgawwad and Bakar, Mostafa Hafida Soliman Abo and Jones, Brett D;;;Snowballing backward (Using augmented reality in software engineering education?);;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Measuring Students' Motivation: Validity Evidence for the MUSIC Model of Academic Motivation Inventory.;Jones, Brett D and Skaggs, Gary;International Journal for the Scholarship of Teaching and Learning;2016;Snowballing backward (Using augmented reality in software engineering education?);n1;10;None;;;;;;;ERIC;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Motivating students to engage in learning: the MUSIC model of academic motivation.;Jones, Brett D;International Journal of Teaching and Learning in Higher Education;2009;Snowballing backward (Using augmented reality in software engineering education?);272--285;21;None;;;;;;;ERIC;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Using the SOLO taxonomy to analyze competence progression of university science curricula;Brabrand, Claus and Dahl, Bettina;Higher Education;2009;Snowballing backward (Using augmented reality in software engineering education?);531--549;58;None;;;;;;;Springer;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Evaluating the quality of learning: The SOLO taxonomy (Structure of the Observed Learning Outcome);Biggs, John B and Collis, Kevin F;;2014;Snowballing backward (Using augmented reality in software engineering education?);;;None;;;;;;;Academic Press;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;X3D-UML: 3D UML Mechatronic Diagrams;McIntosh, Paul and Hamilton, Margaret;;2010;Snowballing backward (Using augmented reality in software engineering education?);85--93;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;Cost, benefits and quality of software development documentation: A systematic mapping;Zhi, Junji and Garousi-Yusifo{\u{g}}lu, Vahid and Sun, Bo and Garousi, Golara and Shahnewaz, Shawn and Ruhe, Guenther;Journal of Systems and Software;2015;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);175--198;99;None;;;;;;;Elsevier;;;;Outras revisões/mapeamentos;45457;45464;annazenaide;annazenaide;Rejected;
;Archinotes: A tool for assisting software architecture courses;Urrego, Juan Sebasti{\'a}n and Correal, Dario;;2013;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);80--88;;None;;;;;;;;;;;Envolve o ensino de Engenharia de Software, mas não aborda o uso da Realidade Aumentada;45457;45464;annazenaide;annazenaide;Rejected;
;Extracting development tasks to navigate software documentation;Treude, Christoph and Robillard, Martin P and Dagenais, Barth{\'e}l{\'e}my;IEEE Transactions on Software Engineering;2014;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);565--581;41;None;;;;;;;IEEE;;;;Envolve o ensino de Engenharia de Software, mas não aborda o uso da Realidade Aumentada;45457;45464;annazenaide;annazenaide;Rejected;
;Categorizing the content of github readme files;Prana, Gede Artha Azriadi and Treude, Christoph and Thung, Ferdian and Atapattu, Thushari and Lo, David;Empirical Software Engineering;2019;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);1296--1327;24;None;;;;;;;Springer;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Retargeting technical documentation to augmented reality;Mohr, Peter and Kerbl, Bernhard and Donoser, Michael and Schmalstieg, Dieter and Kalkofen, Denis;;2015;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);3337--3346;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;Augmented reality for programming teaching. Student satisfaction analysis;Mesia, Natali Salazar and Sanz, Cecilia and Gorga, Gladys;;2016;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);165--171;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;SkyscrapAR: An augmented reality visualization for software evolution;Souza, Rodrigo and Silva, Bruno and Mendes, Thiago and Mendon{\c{c}}a, Manoel;;2012;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);17--24;;None;;;;;;;;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;An empirical study of adoption of software testing in open source projects;Kochhar, Pavneet Singh and Bissyand{\'e}, Tegawend{\'e} F and Lo, David and Jiang, Lingxiao;;2013;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);103--112;;None;;;;;;;;;;;Outras revisões/mapeamentos;45457;45464;annazenaide;annazenaide;Rejected;
;Exploring the benefits of augmented reality documentation for maintenance and repair;Henderson, Steven and Feiner, Steven;IEEE transactions on visualization and computer graphics;2010;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);1355--1368;17;None;;;;;;;Ieee;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;The quest for open source projects that use UML: mining GitHub;Hebig, Regina and Quang, Truong Ho and Chaudron, Michel RV and Robles, Gregorio and Fernandez, Miguel Angel;;2016;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);173--183;;None;;;;;;;;;;;"We can’t access the paper or the paper refers to only to an abstract ";45457;45464;annazenaide;annazenaide;Rejected;
;Collaborative modeling and visualization of software systems using multidimensional UML;Ferenc, Matej and Polasek, Ivan and Vincur, Juraj;;2017;Snowballing backward (Software documentation and augmented reality: love or arranged marriage?);99--103;;None;;;;;;;;;;;Envolve o ensino de Engenharia de Software, mas não aborda o uso da Realidade Aumentada;45457;45464;annazenaide;annazenaide;Rejected;
;On the development of context-aware augmented reality applications;Yigitbas, Enes and Jovanovikj, Ivan and Sauer, Stefan and Engels, Gregor;;2019;Snowballing backward (Augmented and Virtual Reality Object Repository for Rapid Prototyping);107--120;;None;;;;;;;;;;;Processos da Engenharia de Software pra desenvolvimento da Realidade Aumentada;45457;45464;annazenaide;annazenaide;Rejected;
;Integrating 3D modeling, photogrammetry and design;Foster, Shaun and Halbstein, David;;2014;Snowballing backward (Augmented and Virtual Reality Object Repository for Rapid Prototyping);;;None;;;;;;;Springer;;;;Use of AR unrelated to the teaching of Software Engineering;45457;45464;annazenaide;annazenaide;Rejected;
;Development iterations based on web augmentation and context tasks;Marticorena, Lucy Gutierrez and Morales, Leonardo A. and Antonelli, Leandro and Rossi, Gustavo and Firmenich, Diego;Multimedia Tools Appl.;2022;ACM Digital Library;11793–11817;82;The use of prototypes in requirements engineering has widely known benefits since they actively involve the stakeholders in the development process. Web Augmentation techniques make it possible to build prototypes relying on existing web applications. Thus, high fidelity mockups can be quickly generated. One of the most critical activities is dividing requirements into tasks and managing them through the development process. This paper proposes an approach that includes high fidelity mockups into the Task-oriented Development approach. The proposed approach consists of the following steps: (i) end-users specifies requirements, (ii) a product owner verifies and prioritizes the requirements, (iii) tasks are defined and included in a kanban board, (iv) developers should provide the functionality, and (v) the product owner should approved the functionality. The main contribution of this approach is to integrate the requirements specified through web augmentation mockups, into the development environment via a task-oriented development approach. Thus, developers will have a rich context that facilitates the understanding of the requirements. At the same time, the management of the development process will have benefits because of the traceability between tasks and requirements. This paper describes the approach proposed, called “WAMRI”, and an application of its usage, as well as a tool to support the application.;;10.1007/s11042-022-13694-2;https://doi.org/10.1007/s11042-022-13694-2;;;Web engineering, Web augmentation, Requirements engineering, Software development environments, Task contexts, Software tools;Kluwer Academic Publishers;1380-7501;;;"We can’t access the paper or the paper refers to only to an abstract ";45350;45456;annazenaide;annazenaide;Rejected;
;Real-time face alignment: evaluation methods, training strategies and implementation optimization;\'{A}lvarez Casado, Constantino and Bordallo L\'{o}pez, Miguel;J. Real-Time Image Process.;2021;ACM Digital Library;2239–2267;18;Face alignment is a crucial component in most face analysis systems. It focuses on identifying the location of several keypoints of the human faces in images or videos. Although several methods and models are available to developers in popular computer vision libraries, they still struggle with challenges such as insufficient illumination, extreme head poses, or occlusions, especially when they are constrained by the needs of real-time applications. Throughout this article, we propose a set of training strategies and implementations based on data augmentation, software optimization techniques that help in improving a large variety of models belonging to several real-time algorithms for face alignment. We propose an extended set of evaluation metrics that allow novel evaluations to mitigate the typical problems found in real-time tracking contexts. The experimental results show that the generated models using our proposed techniques are faster, smaller, more accurate, more robust in specific challenging conditions and smoother in tracking systems. In addition, the training strategy shows to be applicable across different types of devices and algorithms, making them versatile in both academic and industrial uses.;;10.1007/s11554-021-01107-w;https://doi.org/10.1007/s11554-021-01107-w;;;Face alignment, Real-time, Embedded devices, Cascaded regression, Optimization implementation, Training strategies;Springer-Verlag;1861-8200;;;"We can’t access the paper or the paper refers to only to an abstract ";45350;45456;annazenaide;annazenaide;Rejected;
;On the Popularity of Internet of Things Projects in Online Communities: An Empirical Study of Hackster.io;Ghaleb, Taher Ahmed and da Costa, Daniel Alencar and Zou, Ying;Information Systems Frontiers;2022;ACM Digital Library;1601–1634;24;Online Internet of Things (IoT) communities allow IoT engineers to publish information about their projects to a wider audience of users. Despite the growing adoption of IoT technologies in business, the popularity of IoT projects remains unexplored. Understanding how to improve the popularity of IoT projects helps project owners attract more users and foster business opportunities. In this paper, we explore the important characteristics of popular IoT projects across three facets: views count, respects count, and trending scores. We study over 18,000 IoT projects hosted on Hackster.io—a large online IoT community. In particular, we perform a time-series clustering to identify the evolution of each of the three popularity facets. In addition, we construct linear mixed-effect models to investigate the most important factors associated with the popularity of IoT projects. We provide insights to online IoT communities to improve the user guidelines to help (new) IoT engineers make their projects more eye-catching.;;10.1007/s10796-021-10157-1;https://doi.org/10.1007/s10796-021-10157-1;;;Online communities, Popularity, Internet of Things (IoT), Empirical study;Kluwer Academic Publishers;1387-3326;;;"We can’t access the paper or the paper refers to only to an abstract ";45350;45456;annazenaide;annazenaide;Rejected;
;Theoretically-Defined vs. User-Defined Squeeze Gestures;"Villarreal-Narvaez, Santiago and Slu\""{y}ters, Arthur and Vanderdonckt, Jean and Mbaki Luzayisu, Efrem";Proc. ACM Hum.-Comput. Interact.;2022;ACM Digital Library;;6;This paper presents theoretical and empirical results about user-defined gesture preferences for squeezable objects by focusing on a particular object: a deformable cushion. We start with a theoretical analysis of potential gestures for this squeezable object by defining a multi-dimension taxonomy of squeeze gestures composed of 82 gesture classes. We then empirically analyze the results of a gesture elicitation study resulting in a set of N=32 participants X 21 referents = 672 elicited gestures, further classified into 26 gesture classes. We also contribute to the practice of gesture elicitation studies by explaining why we started from a theoretical analysis (by systematically exploring a design space of potential squeeze gestures) to end up with an empirical analysis (by conducting a gesture elicitation study afterward): the intersection of the results from these sources confirm or disconfirm consensus gestures. Based on these findings, we extract from the taxonomy a subset of recommended gestures that give rise to design implications for gesture interaction with squeezable objects.;;10.1145/3567805;https://doi.org/10.1145/3567805;;;Deformable User Interfaces, Design Guidelines, Gesture Elicitation Study, Gesture User Interfaces, Shape-Changing Interfaces, Squeezable object, Wearable computing;Association for Computing Machinery;;;;"We can’t access the paper or the paper refers to only to an abstract ";45350;45456;annazenaide;annazenaide;Rejected;
;A case study on the use of a conceptual modeling framework for construction simulation;Abdelmegid, Mohammed Adel and O’Sullivan, Michael and Gonz\'{a}lez, Vicente A and Walker, Cameron G and Poshdar, Mani;Simulation;2022;ACM Digital Library;433–460;98;Construction simulation has been an active area of research in the last six decades. Nevertheless, there has been a gap between academia and industry in realizing the capabilities of simulation to support decision-making in construction. One of the well-recognized reasons is the difficulty of undertaking comprehensive simulation studies by construction practitioners, who usually lack sufficient knowledge and skills to adequately build simulation models. Efforts to bridge this gap have been focused on simplifying the computer coding and model implementation stages of construction simulation studies with limited research on the early stage of defining the model and abstracting the system, i.e., conceptual modeling. The conceptual modeling stage is known to be one of the most difficult tasks in a simulation study. Thus, several frameworks to support building conceptual models have been proposed in simulation literature. This study contributes to the research efforts to promote simulation in the construction industry through the adoption of a conceptual modeling framework. It demonstrates the application of the proposed conceptual modeling framework in a case study of piling operations. The findings of this paper reinforced the significance of conceptual modeling by confirming the role of the conceptual model as a communication link between stakeholders. Moreover, the conceptual model was used as a specification document for developing a flexible model that can be replicated in other settings. The use of a documented conceptual model assisted in managing the overall simulation study efficiently, which, in turn, lead to reductions in time and effort for different modeling activities.;;10.1177/00375497211056087;https://doi.org/10.1177/00375497211056087;;;Construction simulation, piling, conceptual modeling;Society for Computer Simulation International;0037-5497;;;"We can’t access the paper or the paper refers to only to an abstract ";45350;45456;annazenaide;annazenaide;Rejected;
;EcoVis: visual analysis of industrial-level spatio-temporal correlations in electricity consumption;Xiao, Yong and Zheng, Kaihong and Lonapalawong, Supaporn and Lu, Wenjie and Chen, Zexian and Qian, Bin and Zhang, Tianye and Wang, Xin and Chen, Wei;Front. Comput. Sci.;2022;ACM Digital Library;;16;Closely related to the economy, the analysis and management of electricity consumption has been widely studied. Conventional approaches mainly focus on the prediction and anomaly detection of electricity consumption, which fails to reveal the in-depth relationships between electricity consumption and various factors such as industry, weather etc.. In the meantime, the lack of analysis tools has increased the difficulty in analytical tasks such as correlation analysis and comparative analysis. In this paper, we introduce EcoVis, a visual analysis system that supports the industrial-level spatio-temporal correlation analysis in the electricity consumption data. We not only propose a novel approach to model spatio-temporal data into a graph structure for easier correlation analysis, but also introduce a novel visual representation to display the distributions of multiple instances in a single map. We implement the system with the cooperation with domain experts. Experiments are conducted to demonstrate the effectiveness of our method.;;10.1007/s11704-020-0088-8;https://doi.org/10.1007/s11704-020-0088-8;;;spatio-temporal data, electricity consumption, correlation analysis, visual analysis, visualization;Springer-Verlag;2095-2228;;;"We can’t access the paper or the paper refers to only to an abstract ";45350;45456;annazenaide;annazenaide;Rejected;
